4	99546654	107171131	4q23-24
10	113035725	135368540	10q25.2-q26.3
14	69401094	77112202	14q24.1-q24.3
14	105406024	105406024	14q32.33
16	30035096	30035096	16p11.2
2	25045383	25959477	2p23.3
3	70307605	72310765	3p13
5	83175976	145529187	5q14.3-q32
6	99284532	142397048	6q16.1-q24.1
7	130819754	151694401	7q32.3-q36.1
8	8995410	11024663	8p23.1
9	107630000	107630000	9q31.1
11	80374393	117225033	11q14.1-q23.3
13	32521086	88328029	13q13.1-q31.2
14	22498402	22498402	14q11.2
17	440497	21318748	17p13.3-p11.2
17	30010224	30010224	17q11.2
20	30432954	56476008	20q11.21-q13.31
21	39080840	48061211	21q22.13-q22.3
22	27473028	31006882	22q12.1-q12.2
