chr1	249250621	1p	125000000	1q	124250621
chr2	243199373	2p	93300000	2q	149899373
chr3	198022430	3p	91000000	3q	107022430
chr4	191154276	4p	50400000	4q	140754276
chr5	180915260	5p	48400000	5q	132515260
chr6	171115067	6p	61000000	6q	110115067
chr7	159138663	7p	59900000	7q	99238663
chr8	146364022	8p	45600000	8q	100764022
chr9	141213431	9p	49000000	9q	92213431
chr10	135534747	10p	40200000	10q	95334747
chr11	135006516	11p	53700000	11q	81306516
chr12	133851895	12p	35800000	12q	98051895
chr13	115169878	13p	17900000	13q	97269878
chr14	107349540	14p	17600000	14q	89749540
chr15	102531392	15p	19000000	15q	83531392
chr16	90354753	16p	36600000	16q	53754753
chr17	81195210	17p	24000000	17q	57195210
chr18	78077248	18p	17200000	18q	60877248
chr19	59128983	19p	26500000	19q	32628983
chr20	63025520	20p	27500000	20q	35525520
chr21	48129895	21p	13200000	21q	34929895
chr22	51304566	22p	14700000	22q	36604566
chrX	155270560	Xp	98300000	Xq	56970560
